Experiment,Date,Ping_Target,Tracked_Interface,Fail_Start_Time,Fail_End_Time,Failover_Duration_sec,Ping_Loss_Duration_sec,Total_Pings,Successful_Pings,Lost_Pings,Packet_Loss_Percent,Avg_Latency_ms,Min_Latency_ms,Max_Latency_ms,CPU_Before,CPU_After,Jitter_ms,Median_Latency_ms,Latency_95th_ms,Latency_99th_ms
1,2025-12-12 01:26:15,1.1.1.1,GigabitEthernet0/0,0.676,1.688,1.0119,1.0119,59,58,1,1.694915254237288,6.872041472073259,4.848003387451172,11.463165283203125,,,1.235,6.783,9.016,9.588
2,2025-12-12 01:26:35,1.1.1.1,GigabitEthernet0/0,2.231,12.353,10.1221,10.1221,139,129,10,7.194244604316546,6.868565729422163,4.252433776855469,21.10004425048828,,3.0,2.17,6.537,8.937,17.015
3,2025-12-12 01:27:09,1.1.1.1,GigabitEthernet0/0,2.27,12.393,10.1229,10.1229,138,128,10,7.246376811594203,7.034981623291969,3.6983489990234375,13.041019439697266,1.0,2.0,1.552,6.704,10.219,11.556
4,2025-12-12 01:27:40,1.1.1.1,GigabitEthernet0/0,2.218,12.34,10.1224,10.1224,131,121,10,7.633587786259542,7.634273245314922,4.335641860961914,26.148080825805664,2.0,2.0,2.714,7.067,12.025,15.317
5,2025-12-12 01:28:10,1.1.1.1,GigabitEthernet0/0,2.277,12.4,10.1224,10.1224,138,128,10,7.246376811594203,7.10383802652359,4.401922225952148,12.002944946289062,2.0,0.0,1.523,6.882,9.796,11.046
6,2025-12-12 01:28:41,1.1.1.1,GigabitEthernet0/0,2.236,7.298,5.0618,5.0618,121,116,5,4.132231404958678,8.340469722090097,0,23.455142974853516,2.0,,3.828,7.123,16.447,21.347
7,2025-12-12 01:29:07,1.1.1.1,GigabitEthernet0/0,0.646,1.658,1.0119,1.0119,56,55,1,1.7857142857142856,7.68237980929288,3.7775039672851562,21.356821060180664,,,3.168,6.798,12.354,20.288
8,2025-12-12 01:29:28,1.1.1.1,GigabitEthernet0/0,0.674,1.685,1.0119,1.0119,58,57,1,1.7241379310344827,7.073335480271724,3.954172134399414,12.878894805908203,,,1.399,7.118,8.823,11.25
9,2025-12-12 01:29:48,1.1.1.1,GigabitEthernet0/0,2.253,12.375,10.122,10.122,131,121,10,7.633587786259542,8.09025764465332,4.566431045532227,15.991449356079102,,1.0,2.275,7.631,12.485,13.823
10,2025-12-12 01:30:22,1.1.1.1,GigabitEthernet0/0,2.231,14.376,12.1447,12.1447,139,127,12,8.633093525179856,6.976247772457093,3.8459300994873047,18.39447021484375,3.0,7.0,1.948,6.547,9.674,13.322
11,2025-12-12 01:30:55,1.1.1.1,GigabitEthernet0/0,2.352,12.477,10.1251,10.1251,137,127,10,7.2992700729927,7.765728657639872,4.304409027099609,24.72233772277832,2.0,7.0,4.113,6.625,19.305,23.365
12,2025-12-12 01:31:26,1.1.1.1,GigabitEthernet0/0,2.249,12.371,10.1228,10.1228,128,118,10,7.8125,8.174130472086244,4.405021667480469,40.55142402648926,2.0,7.0,4.377,7.334,13.078,18.442
13,2025-12-12 01:31:57,1.1.1.1,GigabitEthernet0/0,2.238,12.365,10.1272,10.1272,139,129,10,7.194244604316546,6.713935571123463,3.836393356323242,14.282703399658203,1.0,9.0,1.598,6.397,8.919,12.484
14,2025-12-12 01:32:27,1.1.1.1,GigabitEthernet0/0,2.306,13.44,11.1333,11.1333,135,124,11,8.148148148148149,7.791251905502811,4.46319580078125,34.42978858947754,2.0,,3.928,6.789,10.86,20.632
15,2025-12-12 01:32:59,1.1.1.1,GigabitEthernet0/0,2.25,12.372,10.1219,10.1219,140,130,10,7.142857142857142,6.693392533522386,3.4062862396240234,12.504339218139648,2.0,3.0,1.574,6.462,9.843,11.96
16,2025-12-12 01:33:30,1.1.1.1,GigabitEthernet0/0,2.257,14.404,12.1463,12.1463,142,130,12,8.450704225352112,6.765407782334548,3.626108169555664,12.665033340454102,2.0,7.0,1.27,6.584,8.885,9.604
17,2025-12-12 01:34:03,1.1.1.1,GigabitEthernet0/0,2.277,11.386,9.1089,9.1089,139,130,9,6.474820143884892,6.855430969825158,4.392147064208984,13.92507553100586,1.0,8.0,1.418,6.558,9.067,10.612
18,2025-12-12 01:34:32,1.1.1.1,GigabitEthernet0/0,2.285,11.394,9.1088,9.1088,142,133,9,6.338028169014084,6.3804845164593,3.97491455078125,12.659549713134766,1.0,4.0,1.358,6.199,8.806,10.661
19,2025-12-12 01:35:02,1.1.1.1,GigabitEthernet0/0,2.253,12.374,10.1207,10.1207,140,130,10,7.142857142857142,6.761072232173039,3.9970874786376953,12.214422225952148,2.0,9.0,1.408,6.524,9.892,10.77
20,2025-12-12 01:35:33,1.1.1.1,GigabitEthernet0/0,2.265,11.374,9.1083,9.1083,139,130,9,6.474820143884892,6.830439200768104,4.24647331237793,15.25425910949707,3.0,3.0,1.437,6.652,8.736,9.824
21,2025-12-12 01:36:03,1.1.1.1,GigabitEthernet0/0,2.24,12.362,10.1225,10.1225,134,124,10,7.462686567164178,7.456831393703338,3.850221633911133,31.67104721069336,5.0,8.0,3.948,6.697,10.126,24.102
22,2025-12-12 01:36:33,1.1.1.1,GigabitEthernet0/0,2.311,12.433,10.1227,10.1227,129,119,10,7.751937984496124,8.54339118765182,4.097938537597656,27.52208709716797,1.0,8.0,4.531,7.198,20.491,23.863
23,2025-12-12 01:37:04,1.1.1.1,GigabitEthernet0/0,2.275,11.384,9.1088,9.1088,135,126,9,6.666666666666667,7.411780811491466,4.151582717895508,14.345169067382812,1.0,7.0,1.959,6.907,10.998,12.989
24,2025-12-12 01:37:34,1.1.1.1,GigabitEthernet0/0,2.258,12.381,10.1238,10.1238,139,129,10,7.194244604316546,6.883663724559222,4.11534309387207,12.726068496704102,1.0,9.0,1.275,6.695,8.965,10.119
25,2025-12-12 01:38:05,1.1.1.1,GigabitEthernet0/0,2.243,12.364,10.1209,10.1209,130,120,10,7.6923076923076925,7.9192280769348145,4.320383071899414,25.09140968322754,3.0,6.0,3.869,6.839,19.452,22.107
26,2025-12-12 01:38:36,1.1.1.1,GigabitEthernet0/0,2.252,11.363,9.1109,9.1109,130,121,9,6.923076923076923,7.88094386581547,3.963947296142578,25.890111923217773,1.0,,3.498,7.453,10.467,23.148
27,2025-12-12 01:39:05,1.1.1.1,GigabitEthernet0/0,2.258,13.392,11.1338,11.1338,138,127,11,7.971014492753622,7.191323858546459,3.6110877990722656,19.104480743408203,1.0,8.0,2.235,6.755,10.123,14.384
28,2025-12-12 01:39:37,1.1.1.1,GigabitEthernet0/0,2.242,12.364,10.1213,10.1213,137,127,10,7.2992700729927,6.997442620945728,3.6225318908691406,14.246940612792969,3.0,6.0,1.511,6.781,8.777,10.486
29,2025-12-12 01:40:08,1.1.1.1,GigabitEthernet0/0,2.259,11.367,9.1076,9.1076,138,129,9,6.521739130434782,6.810277007346929,4.228830337524414,13.597965240478516,2.0,8.0,1.462,6.551,9.077,10.279
30,2025-12-12 01:40:38,1.1.1.1,GigabitEthernet0/0,2.287,12.409,10.1226,10.1226,135,125,10,7.4074074074074066,7.596467971801758,4.264116287231445,19.36507225036621,1.0,6.0,1.969,7.273,10.62,12.846
31,2025-12-12 01:41:09,1.1.1.1,GigabitEthernet0/0,2.278,10.375,8.0975,8.0975,135,127,8,5.9259259259259265,7.200695398285633,3.388643264770508,23.025989532470703,3.0,7.0,2.005,6.814,9.383,11.3
32,2025-12-12 01:41:38,1.1.1.1,GigabitEthernet0/0,2.224,13.365,11.1408,11.1408,139,128,11,7.913669064748201,6.830774247646332,3.9412975311279297,12.553930282592773,3.0,8.0,1.527,6.538,9.649,10.728
33,2025-12-12 01:42:09,1.1.1.1,GigabitEthernet0/0,2.372,13.509,11.1363,11.1363,132,121,11,8.333333333333332,8.792000368606946,5.176544189453125,30.774354934692383,2.0,2.0,4.551,7.459,17.612,23.337
34,2025-12-12 01:42:41,1.1.1.1,GigabitEthernet0/0,2.267,12.389,10.1216,10.1216,136,126,10,7.352941176470589,7.231676389300634,0,12.676239013671875,1.0,3.0,1.706,6.952,9.908,12.369
35,2025-12-12 01:43:13,1.1.1.1,GigabitEthernet0/0,2.291,11.403,9.1116,9.1116,132,123,9,6.8181818181818175,7.957181310266014,4.472970962524414,28.949975967407227,4.0,2.0,3.527,7.134,12.215,21.608
36,2025-12-12 01:43:43,1.1.1.1,GigabitEthernet0/0,2.301,12.423,10.1218,10.1218,128,118,10,7.8125,8.463507991726116,4.999399185180664,27.996540069580078,1.0,3.0,4.26,7.191,20.041,22.629
37,2025-12-12 01:44:14,1.1.1.1,GigabitEthernet0/0,2.247,12.371,10.1232,10.1232,134,124,10,7.462686567164178,7.4668834286351355,4.076242446899414,14.552593231201172,1.0,4.0,1.801,6.991,10.423,11.292
38,2025-12-12 01:44:44,1.1.1.1,GigabitEthernet0/0,2.231,13.364,11.1337,11.1337,138,127,11,7.971014492753622,6.958922063271831,4.152059555053711,11.48676872253418,5.0,7.0,1.291,6.7,9.377,10.985
39,2025-12-12 01:45:16,1.1.1.1,GigabitEthernet0/0,2.255,14.399,12.1438,12.1438,135,123,12,8.88888888888889,7.7463669505545765,4.202842712402344,46.80061340332031,0.0,2.0,5.259,6.524,10.441,28.809
40,2025-12-12 01:45:49,1.1.1.1,GigabitEthernet0/0,2.28,12.408,10.128,10.128,134,124,10,7.462686567164178,7.597792533136183,4.719257354736328,21.490812301635742,2.0,3.0,2.327,7.01,11.401,15.079
41,2025-12-12 01:46:20,1.1.1.1,GigabitEthernet0/0,2.316,10.412,8.096,8.096,137,129,8,5.839416058394161,7.23874476528907,4.474878311157227,13.49496841430664,3.0,1.0,1.449,7.058,10.001,11.615
42,2025-12-12 01:46:49,1.1.1.1,GigabitEthernet0/0,2.276,12.397,10.1215,10.1215,133,123,10,7.518796992481203,7.860024770100911,4.280805587768555,39.720773696899414,1.0,2.0,4.744,6.99,10.132,28.607
43,2025-12-12 01:47:20,1.1.1.1,GigabitEthernet0/0,2.249,12.371,10.1222,10.1222,134,124,10,7.462686567164178,7.4681851171678115,4.32276725769043,13.602256774902344,1.0,1.0,1.555,7.226,10.06,11.519
44,2025-12-12 01:47:51,1.1.1.1,GigabitEthernet0/0,2.22,3.231,1.0117,1.0117,128,127,1,0.78125,6.827604113601324,0,16.324996948242188,1.0,,1.739,6.548,9.89,11.62
45,2025-12-12 01:48:13,1.1.1.1,GigabitEthernet0/0,0.68,1.693,1.0126,1.0126,51,50,1,1.9607843137254901,9.345664978027344,4.323244094848633,23.568153381347656,,,4.827,7.45,21.691,23.027
46,2025-12-12 01:48:34,1.1.1.1,GigabitEthernet0/0,0.668,1.679,1.0118,1.0118,59,58,1,1.694915254237288,6.984525713427313,4.507541656494141,17.904996871948242,,,1.812,6.745,8.711,9.051
47,2025-12-12 01:48:54,1.1.1.1,GigabitEthernet0/0,2.29,,,,140,120,20,14.285714285714285,8.465429147084555,4.025936126708984,43.20240020751953,,0,5.119,7.178,13.298,31.088
48,2025-12-12 01:49:35,1.1.1.1,GigabitEthernet0/0,1.828,2.841,1.0121,1.0121,107,106,1,0.9345794392523363,6.847181410159704,3.9196014404296875,14.470815658569336,,,1.512,6.711,8.966,10.993
49,2025-12-12 01:49:57,1.1.1.1,GigabitEthernet0/0,2.263,,,,140,120,20,14.285714285714285,8.275749286015829,4.556417465209961,45.65739631652832,,0,5.354,6.797,18.351,24.727
50,2025-12-12 01:50:35,1.1.1.1,GigabitEthernet0/0,2.272,13.406,11.1337,11.1337,142,131,11,7.746478873239436,6.879615419693575,3.636598587036133,21.710634231567383,,2.0,2.316,6.544,9.519,16.209
51,2025-12-12 01:51:07,1.1.1.1,GigabitEthernet0/0,2.254,13.388,11.1333,11.1333,130,119,11,8.461538461538462,8.139900800560703,4.114627838134766,37.377357482910156,1.0,2.0,4.914,6.688,20.923,25.98
52,2025-12-12 01:51:39,1.1.1.1,GigabitEthernet0/0,2.315,11.421,9.1067,9.1067,138,129,9,6.521739130434782,7.221465887025345,3.8471221923828125,16.74032211303711,1.0,3.0,1.982,6.842,10.154,14.878
53,2025-12-12 01:52:08,1.1.1.1,GigabitEthernet0/0,2.281,13.413,11.1327,11.1327,141,130,11,7.801418439716312,6.9333810072678785,4.076242446899414,11.584997177124023,1.0,3.0,1.406,6.801,9.548,10.312
54,2025-12-12 01:52:40,1.1.1.1,GigabitEthernet0/0,2.263,11.374,9.1114,9.1114,126,117,9,7.142857142857142,8.557943197397085,4.127740859985352,30.704021453857422,2.0,2.0,4.254,7.462,14.562,22.0
55,2025-12-12 01:53:10,1.1.1.1,GigabitEthernet0/0,2.252,13.386,11.1339,11.1339,135,124,11,8.148148148148149,7.473409175872803,4.202842712402344,14.13416862487793,3.0,8.0,1.898,7.027,10.943,13.148
56,2025-12-12 01:53:42,1.1.1.1,GigabitEthernet0/0,2.242,11.351,9.1088,9.1088,125,116,9,7.199999999999999,8.301554055049502,4.830837249755859,16.55888557434082,0.0,2.0,1.953,8.02,11.676,14.019
57,2025-12-12 01:54:12,1.1.1.1,GigabitEthernet0/0,2.21,11.32,9.1102,9.1102,135,126,9,6.666666666666667,6.950550609164768,3.6423206329345703,13.635873794555664,1.0,3.0,1.39,6.67,8.79,11.283
58,2025-12-12 01:54:41,1.1.1.1,GigabitEthernet0/0,2.281,11.392,9.1103,9.1103,141,132,9,6.382978723404255,6.663741487445253,3.4160614013671875,11.218547821044922,2.0,1.0,1.356,6.509,9.349,9.902
59,2025-12-12 01:55:11,1.1.1.1,GigabitEthernet0/0,2.307,13.442,11.1351,11.1351,140,129,11,7.857142857142857,7.181759028471718,4.192113876342773,12.009143829345703,1.0,4.0,1.547,7.01,10.015,11.038
60,2025-12-12 01:55:43,1.1.1.1,GigabitEthernet0/0,2.298,12.42,10.1228,10.1228,138,128,10,7.246376811594203,7.25904107093811,3.8573741912841797,13.75889778137207,2.0,2.0,1.351,7.15,9.105,10.879
61,2025-12-12 01:56:14,1.1.1.1,GigabitEthernet0/0,2.252,12.373,10.1212,10.1212,139,129,10,7.194244604316546,6.806979807772378,3.6292076110839844,11.8408203125,4.0,7.0,1.414,6.615,9.192,10.495
62,2025-12-12 01:56:44,1.1.1.1,GigabitEthernet0/0,2.328,13.462,11.1337,11.1337,131,120,11,8.396946564885496,8.472742636998495,4.252433776855469,31.46052360534668,2.0,8.0,4.815,6.88,20.317,25.733
63,2025-12-12 01:57:16,1.1.1.1,GigabitEthernet0/0,2.3,12.421,10.1202,10.1202,142,132,10,7.042253521126761,6.717813737464674,3.945589065551758,10.56218147277832,2.0,7.0,1.162,6.627,8.633,9.721
64,2025-12-12 01:57:47,1.1.1.1,GigabitEthernet0/0,2.304,10.407,8.1031,8.1031,135,127,8,5.9259259259259265,7.37550314955824,0,14.550447463989258,2.0,,1.859,7.154,10.155,12.564
65,2025-12-12 01:58:16,1.1.1.1,GigabitEthernet0/0,2.297,13.436,11.1392,11.1392,128,117,11,8.59375,8.79000598548824,4.932403564453125,37.19663619995117,1.0,,5.702,7.08,22.351,29.25
66,2025-12-12 01:58:48,1.1.1.1,GigabitEthernet0/0,2.279,11.391,9.1119,9.1119,133,124,9,6.7669172932330826,7.634107143648209,4.227638244628906,15.543699264526367,1.0,,1.643,7.308,9.882,12.477
67,2025-12-12 01:59:17,1.1.1.1,GigabitEthernet0/0,2.298,11.414,9.1162,9.1162,137,128,9,6.569343065693431,7.307238876819611,4.77147102355957,12.169122695922852,1.0,9.0,1.503,6.991,10.149,10.616
68,2025-12-12 01:59:47,1.1.1.1,GigabitEthernet0/0,2.329,10.429,8.0998,8.0998,139,131,8,5.755395683453238,6.980497418469145,4.477500915527344,12.39323616027832,1.0,3.0,1.391,6.804,9.222,10.128
