Experiment,Date,Ping_Target,Tracked_Interface,Fail_Start_Time,Fail_End_Time,Failover_Duration_sec,Ping_Loss_Duration_sec,Total_Pings,Successful_Pings,Lost_Pings,Packet_Loss_Percent,Avg_Latency_ms,Min_Latency_ms,Max_Latency_ms,CPU_Before,CPU_After,Jitter_ms,Median_Latency_ms,Latency_95th_ms,Latency_99th_ms
27,2025-12-12 14:12:59,1.1.1.1,GigabitEthernet0/0,2.272,6.322,4.0497,4.0497,129,125,4,3.10077519379845,7.4357452392578125,3.9560794830322266,16.27039909362793,1.0,13.0,1.831,7.198,10.517,13.238
28,2025-12-12 14:13:24,1.1.1.1,GigabitEthernet0/0,2.32,5.356,3.0358,3.0358,130,127,3,2.307692307692308,7.515064374668392,4.508018493652344,15.584468841552734,3.0,11.0,1.599,7.19,10.383,12.53
29,2025-12-12 14:13:48,1.1.1.1,GigabitEthernet0/0,2.269,6.317,4.0488,4.0488,124,120,4,3.225806451612903,8.205628395080566,4.441738128662109,31.357526779174805,2.0,14.0,3.622,7.349,14.012,16.01
30,2025-12-12 14:14:12,1.1.1.1,GigabitEthernet0/0,2.307,5.343,3.0358,3.0358,130,127,3,2.307692307692308,7.454113697442483,4.131555557250977,14.383554458618164,9.0,9.0,1.369,7.379,9.726,10.494
31,2025-12-12 14:14:36,1.1.1.1,GigabitEthernet0/0,2.25,5.287,3.0371,3.0371,126,123,3,2.380952380952381,7.578842039030742,3.4880638122558594,27.301311492919922,1.0,14.0,2.297,7.17,9.597,10.808
32,2025-12-12 14:15:00,1.1.1.1,GigabitEthernet0/0,2.289,6.338,4.0491,4.0491,131,127,4,3.0534351145038165,7.264597209419791,4.620552062988281,16.04318618774414,1.0,12.0,1.563,7.071,9.557,11.072
33,2025-12-12 14:15:24,1.1.1.1,GigabitEthernet0/0,2.254,6.309,4.0547,4.0547,130,126,4,3.076923076923077,7.202475789993528,4.388332366943359,12.239694595336914,2.0,14.0,1.283,7.016,9.241,10.9
34,2025-12-12 14:15:49,1.1.1.1,GigabitEthernet0/0,2.214,5.251,3.0366,3.0366,112,109,3,2.6785714285714284,9.67227647063929,4.44483757019043,37.84775733947754,3.0,9.0,6.439,7.397,24.594,28.93
35,2025-12-12 14:16:13,1.1.1.1,GigabitEthernet0/0,2.326,6.374,4.0482,4.0482,126,122,4,3.1746031746031744,8.171851517724209,4.242181777954102,17.86184310913086,2.0,13.0,2.013,7.831,10.627,15.679
36,2025-12-12 14:16:38,1.1.1.1,GigabitEthernet0/0,2.313,6.361,4.0485,4.0485,124,120,4,3.225806451612903,8.253560463587442,3.3512115478515625,32.285451889038086,2.0,9.0,4.945,7.0,21.534,30.772
37,2025-12-12 14:17:02,1.1.1.1,GigabitEthernet0/0,2.305,6.353,4.0479,4.0479,131,127,4,3.0534351145038165,7.33526672903947,4.43720817565918,29.86621856689453,2.0,10.0,3.074,6.81,10.041,19.245
38,2025-12-12 14:17:27,1.1.1.1,GigabitEthernet0/0,2.296,5.332,3.0364,3.0364,129,126,3,2.3255813953488373,7.356893448602586,4.761457443237305,16.963481903076172,1.0,14.0,2.086,6.754,11.472,13.995
39,2025-12-12 14:17:51,1.1.1.1,GigabitEthernet0/0,2.244,6.293,4.049,4.049,121,117,4,3.3057851239669422,8.468949896657568,3.337383270263672,33.87093544006348,4.0,8.0,4.093,7.7,11.34,24.207
40,2025-12-12 14:18:15,1.1.1.1,GigabitEthernet0/0,2.306,6.355,4.0492,4.0492,132,128,4,3.0303030303030303,7.247935980558395,4.713773727416992,14.761924743652344,2.0,10.0,1.52,6.822,9.604,11.937
41,2025-12-12 14:18:40,1.1.1.1,GigabitEthernet0/0,2.221,6.269,4.0487,4.0487,123,119,4,3.2520325203252036,7.958109639271968,4.804134368896484,25.400638580322266,3.0,12.0,3.102,7.256,11.663,21.74
42,2025-12-12 14:19:05,1.1.1.1,GigabitEthernet0/0,2.268,5.306,3.0376,3.0376,129,126,3,2.3255813953488373,7.350444793701172,4.983186721801758,10.384082794189453,2.0,12.0,1.282,7.194,9.644,10.167
43,2025-12-12 14:19:28,1.1.1.1,GigabitEthernet0/0,2.234,5.27,3.0361,3.0361,123,120,3,2.4390243902439024,7.921048005421956,5.052804946899414,26.788711547851562,2.0,13.0,3.202,7.187,11.671,20.527
44,2025-12-12 14:19:52,1.1.1.1,GigabitEthernet0/0,2.311,5.347,3.0363,3.0363,129,126,3,2.3255813953488373,7.547995400807214,5.104541778564453,11.810064315795898,3.0,14.0,1.241,7.364,9.743,10.728
45,2025-12-12 14:20:16,1.1.1.1,GigabitEthernet0/0,2.374,6.423,4.0485,4.0485,134,130,4,2.9850746268656714,7.45849609375,4.269123077392578,11.896848678588867,3.0,10.0,1.357,7.336,9.843,10.861
46,2025-12-12 14:20:41,1.1.1.1,GigabitEthernet0/0,2.26,5.296,3.0358,3.0358,126,123,3,2.380952380952381,7.684451777760575,4.575014114379883,14.179706573486328,1.0,11.0,1.745,7.298,10.449,13.08
47,2025-12-12 14:21:04,1.1.1.1,GigabitEthernet0/0,2.314,6.366,4.0521,4.0521,125,121,4,3.2,8.291685876767497,4.533290863037109,33.262014389038086,3.0,16.0,4.903,7.162,13.884,30.891
48,2025-12-12 14:21:29,1.1.1.1,GigabitEthernet0/0,2.318,6.368,4.0492,4.0492,127,123,4,3.149606299212598,8.0578811769563,3.5614967346191406,27.714014053344727,1.0,9.0,3.595,7.255,13.116,23.258
49,2025-12-12 14:21:54,1.1.1.1,GigabitEthernet0/0,2.27,6.32,4.0496,4.0496,128,124,4,3.125,7.588542276813138,4.697561264038086,18.497705459594727,3.0,9.0,2.011,7.401,11.087,12.745
50,2025-12-12 14:22:19,1.1.1.1,GigabitEthernet0/0,2.267,6.316,4.0483,4.0483,130,126,4,3.076923076923077,7.311452002752395,4.580974578857422,11.559247970581055,3.0,11.0,1.454,7.113,9.904,10.731
51,2025-12-12 14:22:44,1.1.1.1,GigabitEthernet0/0,2.317,6.366,4.0489,4.0489,129,125,4,3.10077519379845,7.600841522216797,4.456758499145508,13.755083084106445,1.0,10.0,1.702,7.173,10.628,12.134
52,2025-12-12 14:23:09,1.1.1.1,GigabitEthernet0/0,2.247,6.295,4.0482,4.0482,125,121,4,3.2,7.81481719214069,4.0035247802734375,13.690710067749023,2.0,10.0,1.491,7.649,10.116,11.499
53,2025-12-12 14:23:33,1.1.1.1,GigabitEthernet0/0,2.276,6.324,4.0483,4.0483,130,126,4,3.076923076923077,7.396071676223997,4.212856292724609,27.272939682006836,1.0,14.0,2.887,7.068,9.087,15.504
54,2025-12-12 14:23:58,1.1.1.1,GigabitEthernet0/0,2.288,6.337,4.0488,4.0488,132,128,4,3.0303030303030303,7.154736667871475,4.176855087280273,11.953115463256836,2.0,13.0,1.139,7.143,8.774,10.323
55,2025-12-12 14:24:23,1.1.1.1,GigabitEthernet0/0,2.229,6.278,4.0494,4.0494,128,124,4,3.125,7.482076844861431,4.355430603027344,27.681589126586914,1.0,9.0,2.685,6.807,11.412,14.855
56,2025-12-12 14:24:47,1.1.1.1,GigabitEthernet0/0,2.295,6.349,4.0541,4.0541,124,120,4,3.225806451612903,8.189157644907633,4.289388656616211,22.50194549560547,3.0,10.0,2.749,7.766,12.558,18.497
